,,,,,,,,,,,,,,,,,,,,,Move mark #1,,,,,,,Move mark #2,,,,,,,Move mark #3,,,,,,,,Move mark #4,,,,,,,,Move mark #5,,,,,,,,Move samples,,,,,,,,
Activity,StartTime [ISO8601],Duration [s],Calories,Distance [m],Feeling,HrAvg,SpeedAvg [km/h],TE,AscentAltitude,AscentTime,DescentAltitude,DescentTime,FlatTime,HighAltitude,LowAltitude,HrMin,HrPeak,TemperatureAvg,SampleInterval,Device,Time,MarkType,Notes,Duration,Activity,Ascent,Descent,Time,MarkType,Notes,Duration,Activity,Ascent,Descent,Time,MarkType,Notes,Duration,Activity,Ascent,AvgHr,Descent,Time,MarkType,Notes,Duration,Activity,Ascent,AvgHr,Descent,Time,MarkType,Notes,Duration,Activity,Ascent,AvgHr,Descent,LocalTime,Altitude,HeartRate,SeaLevelPressure,Temperature,VerticalSpeed,Epoc,,IBI
Boxing,2019-02-25T05:32:09.317,4941.983,1358,0,4,160,0,4.3,9.2,130,8.8,102,4710,91.6,84.8,109,195,21.1,1,Suunto Spartan Ultra,2019-02-25T05:32:09.317,8,,0,Unspecified sport,0,0,2019-02-25T05:32:09.317,1,,0,Unspecified sport,0,0,2019-02-25T05:52:39.29,2,,1229.974,Boxing,6,170,7,2019-02-25T05:53:16.587,1,,37.295,Boxing,0,183,0,2019-02-25T06:55:08.623,2,,3712.038,Boxing,3,156,6,2019-02-25T05:32:16.829,91.2,127,1026.77,0,0,0,,198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:33.002,91.2,172,1026.77,22.2,0,5.4,,367
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:34,91.2,173,1026.72,22.2,0,5.4,,366
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:35,91.2,173,1026.72,22.2,0,5.588095,,363
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:36,91.2,173,1026.72,22.2,0,6.5,,361
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:37,91.2,172,1026.72,22.2,0,6.5,,359
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:38,91.2,171,1026.72,22.2,0,6.5,,357
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:39,91.2,169,1026.72,22.2,0,6.5,,363
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:40.001,91.2,169,1026.72,22.2,0,6.5,,360
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:41,91.2,169,1026.72,22.2,0,6.5,,362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:42,91.2,169,1026.72,22.2,0,6.5,,352
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:43,91.2,169,1026.72,22.2,0,6.5,,358
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:44,91.2,170,1026.72,22.2,0,6.5,,351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:45,91.2,171,1026.72,22.2,0,6.688095,,353
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:46,91.2,171,1026.72,22.2,0,7.6,,353
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:47,91.2,171,1026.72,22.2,0,7.6,,360
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:48.001,91.2,171,1026.72,22.2,0,7.6,,350
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:49,91.2,170,1026.72,22.2,0,7.6,,354
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:50,91.2,170,1026.72,22.2,0,7.6,,352
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:51,91.2,170,1026.72,22.2,0,7.6,,359
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:52,91.2,170,1026.72,22.2,0,7.6,,353
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:53,91.2,169,1026.72,22.2,0,7.6,,353
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:54,91.2,168,1026.72,22.2,0,7.6,,355
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:55,91.2,166,1026.72,22.2,0,7.736796,,358
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:56,91.2,165,1026.72,22.2,0,8.4,,356
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:57,91.2,164,1026.72,22.2,0,8.4,,354
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:58,91.2,164,1026.72,22.2,0,8.4,,360
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:59,91.2,166,1026.72,22.2,0,8.4,,357
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:34:00,91.2,166,1026.72,22.2,0,8.4,,356
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:34:01,91.2,165,1026.72,22.2,0,8.4,,361
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:34:02,91.2,165,1026.72,22.2,0,8.4,,359
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:34:03,91.2,166,1026.72,22.2,0,8.4,,360
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:34:04.001,91.2,167,1026.72,22.2,0,8.4,,357
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:34:05,91.2,168,1026.69,22.2,0,8.553896,,355
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:34:06,91.2,168,1026.69,22.2,0,9.3,,362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:34:07,91.2,168,1026.69,22.2,0,9.3,,356
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:34:08,91.2,170,1026.69,22.2,0,9.3,,361
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:34:09,91.2,170,1026.69,22.2,0,9.3,,362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:34:10,91.2,171,1026.69,22.2,0,9.3,,362
